yearID,teamID,team_name,wins,losses,running_average_wins,avg_weight,avg_height,roster_size,avg_games_played,median_games_played
2011,NYA,"New York Yankees",97,65,98,217.77,73.88,48,48,28
2011,NYN,"New York Mets",77,85,75,212.39,73.76,46,52,36
2011,OAK,"Oakland Athletics",74,88,77,213.73,73.67,48,46,32
2011,PHI,"Philadelphia Phillies",102,60,97,213.38,73.88,42,52,35
2011,PIT,"Pittsburgh Pirates",72,90,64,212.92,73.79,52,47,30
2011,SDN,"San Diego Padres",71,91,79,211.94,74.06,48,49,40
2011,SEA,"Seattle Mariners",67,95,71,217.83,74.17,47,44,31
2011,SFN,"San Francisco Giants",86,76,89,210.84,73.18,44,54,49
2011,SLN,"St. Louis Cardinals",90,72,89,209.96,73.39,46,52,35
2011,TBA,"Tampa Bay Rays",91,71,90,209.90,74.02,42,54,36
2011,TEX,"Texas Rangers",96,66,91,213.33,73.84,45,49,31
2011,TOR,"Toronto Blue Jays",81,81,80,214.57,73.43,53,43,33
2011,WAS,"Washington Nationals",80,81,69,215.34,73.73,44,53,33
2010,ARI,"Arizona Diamondbacks",65,97,72,211.06,73.54,48,47,33
2010,ATL,"Atlanta Braves",91,71,83,209.28,73.56,43,55,36
2010,BAL,"Baltimore Orioles",66,96,66,211.71,73.96,45,50,39
2010,BOS,"Boston Red Sox",89,73,93,211.66,73.85,53,44,29
2010,CHA,"Chicago White Sox",88,74,85,217.40,74.03,40,55,33
2010,CHN,"Chicago Cubs",75,87,85,215.16,73.77,44,52,30
2010,CIN,"Cincinnati Reds",91,71,81,215.27,73.93,44,54,32
2010,CLE,"Cleveland Indians",69,93,72,213.09,73.62,45,50,34
2010,COL,"Colorado Rockies",83,79,83,211.42,73.74,43,55,35
2010,DET,"Detroit Tigers",81,81,80,210.27,73.68,41,55,39
2010,FLO,"Florida Marlins",80,82,84,214.21,74.11,57,40,27
2010,HOU,"Houston Astros",76,86,79,208.50,73.10,48,49,33
2010,KCA,"Kansas City Royals",67,95,69,208.87,73.13,46,48,32
2010,LAA,"Los Angeles Angels of Anaheim",80,82,92,211.17,73.20,46,49,28
2010,LAN,"Los Angeles Dodgers",80,82,86,211.63,73.00,49,47,32
2010,MIL,"Milwaukee Brewers",77,85,82,211.35,73.79,43,53,37
2010,MIN,"Minnesota Twins",94,68,90,215.79,73.62,42,55,41
2010,NYA,"New York Yankees",95,67,96,217.53,74.02,43,54,31
2010,NYN,"New York Mets",79,83,79,206.85,73.21,47,50,38
2010,OAK,"Oakland Athletics",81,81,77,209.16,73.33,49,46,29
2010,PHI,"Philadelphia Phillies",97,65,94,210.86,73.67,42,54,35
2010,PIT,"Pittsburgh Pirates",57,105,62,213.52,73.79,52,45,27
2010,SDN,"San Diego Padres",90,72,76,211.20,73.70,40,59,54
2010,SEA,"Seattle Mariners",61,101,69,212.38,74.06,47,45,30
2010,SFN,"San Francisco Giants",92,70,84,207.21,73.19,42,56,35
2010,SLN,"St. Louis Cardinals",86,76,88,211.17,73.98,42,56,44
